"","biblioteka","czestosc","kategoria"
"739","DataCombine",0.0025231287,"B"
"740","gganimate",0.0025231287,"B"
"741","plotly",0.0025231287,"B"
"742","rgeos",0.0025231287,"B"
"743","ROAuth",0.0025231287,"B"
"744","sf",0.0025231287,"B"
"745","tools",0.0025231287,"B"
"746","xts",0.0025231287,"B"
"747","compiler",0.0021026072,"B"
"748","doMC",0.0021026072,"B"
"749","dygraphs",0.0021026072,"B"
"750","edgeR",0.0021026072,"B"
"751","forecast",0.0021026072,"B"
"752","geosphere",0.0021026072,"B"
"753","glmnet",0.0021026072,"B"
"754","lattice",0.0021026072,"B"
"755","lineup",0.0021026072,"B"
"756","methods",0.0021026072,"B"
"757","RSelenium",0.0021026072,"B"
"758","rstan",0.0021026072,"B"
"759","rtweet",0.0021026072,"B"
"760","shinyAce",0.0021026072,"B"
"761","shinythemes",0.0021026072,"B"
"762","splines",0.0021026072,"B"
"763","survival",0.0021026072,"B"
"764","tm",0.0021026072,"B"
"765","yaml",0.0021026072,"B"
"766","babynames",0.0016820858,"B"
"767","Biobase",0.0016820858,"B"
"768","broom",0.0016820858,"B"
"769","caTools",0.0016820858,"B"
"770","d3heatmap",0.0016820858,"B"
"771","e1071",0.0016820858,"B"
"772","fs",0.0016820858,"B"
"773","GenomicRanges",0.0016820858,"B"
"774","googleAuthR",0.0016820858,"B"
"775","googlesheets",0.0016820858,"B"
"776","googleVis",0.0016820858,"B"
"777","gplots",0.0016820858,"B"
"778","highcharter",0.0016820858,"B"
"779","janitor",0.0016820858,"B"
"780","jpeg",0.0016820858,"B"
"781","kernlab",0.0016820858,"B"
"782","limma",0.0016820858,"B"
"783","multicore",0.0016820858,"B"
"784","mvtnorm",0.0016820858,"B"
"785","partykit",0.0016820858,"B"
"786","png",0.0016820858,"B"
"787","pROC",0.0016820858,"B"
"788","ProjectTemplate",0.0016820858,"B"
"789","psData",0.0016820858,"B"
"790","rbenchmark",0.0016820858,"B"
"791","rCharts",0.0016820858,"B"
"792","repmis",0.0016820858,"B"
"793","rgl",0.0016820858,"B"
"794","ropenaq",0.0016820858,"B"
"795","rpart.plot",0.0016820858,"B"
"796","RPostgreSQL",0.0016820858,"B"
"797","stats",0.0016820858,"B"
"798","stringi",0.0016820858,"B"
"799","tibble",0.0016820858,"B"
"800","WDI",0.0016820858,"B"
"801","AppliedPredictiveModeling",0.0012615643,"B"
"802","Biostrings",0.0012615643,"B"
"803","classInt",0.0012615643,"B"
"804","coda",0.0012615643,"B"
"805","cranlogs",0.0012615643,"B"
"806","DESeq",0.0012615643,"B"
"807","gbm",0.0012615643,"B"
"808","genefilter",0.0012615643,"B"
"809","GEOquery",0.0012615643,"B"
"810","ggvis",0.0012615643,"B"
"811","GO.db",0.0012615643,"B"
"812","googleAnalyticsR",0.0012615643,"B"
"813","here",0.0012615643,"B"
"814","hrbrthemes",0.0012615643,"B"
"815","lightgbm",0.0012615643,"B"
"816","magick",0.0012615643,"B"
"817","microbenchmark",0.0012615643,"B"
"818","monkeylearn",0.0012615643,"B"
"819","networkD3",0.0012615643,"B"
"820","nlme",0.0012615643,"B"
"821","party",0.0012615643,"B"
"822","plotrix",0.0012615643,"B"
"823","plumber",0.0012615643,"B"
"824","pscl",0.0012615643,"B"
"825","quantmod",0.0012615643,"B"
"826","Rfacebook",0.0012615643,"B"
"827","RWeka",0.0012615643,"B"
"828","shinyBS",0.0012615643,"B"
"829","spatstat",0.0012615643,"B"
"830","streamR",0.0012615643,"B"
"831","stringdist",0.0012615643,"B"
"832","tidytext",0.0012615643,"B"
"833","tseries",0.0012615643,"B"
"834","VIM",0.0012615643,"B"
"835","wordcloud",0.0012615643,"B"
"836","affy",0.0008410429,"B"
"837","Amelia",0.0008410429,"B"
"838","analogsea",0.0008410429,"B"
"839","AnalyzeFMRI",0.0008410429,"B"
"840","AnomalyDetection",0.0008410429,"B"
"841","ape",0.0008410429,"B"
"842","ascii",0.0008410429,"B"
"843","bigQueryR",0.0008410429,"B"
"844","bigvis",0.0008410429,"B"
"845","BiocParallel",0.0008410429,"B"
"846","bit",0.0008410429,"B"
"847","C50",0.0008410429,"B"
"848","chron",0.0008410429,"B"
"849","circlize",0.0008410429,"B"
"850","cluster",0.0008410429,"B"
"851","colorspace",0.0008410429,"B"
"852","ctv",0.0008410429,"B"
"853","curl",0.0008410429,"B"
"854","DBI",0.0008410429,"B"
"855","DMwR",0.0008410429,"B"
"856","doParallel",0.0008410429,"B"
"857","downloader",0.0008410429,"B"
"858","dplyr, warn.conflicts = FALSE",0.0008410429,"B"
"859","dplyr, warn.conflicts=FALSE",0.0008410429,"B"
"860","drake",0.0008410429,"B"
"861","dummies",0.0008410429,"B"
"862","fields",0.0008410429,"B"
"863","fiery",0.0008410429,"B"
"864","gapminder",0.0008410429,"B"
"865","GenomicFeatures",0.0008410429,"B"
"866","gentelellaShiny",0.0008410429,"B"
"867","GGally",0.0008410429,"B"
"868","ggforce",0.0008410429,"B"
"869","ggjoy",0.0008410429,"B"
"870","ggthemes",0.0008410429,"B"
"871","gh",0.0008410429,"B"
"872","glue",0.0008410429,"B"
"873","gmailr",0.0008410429,"B"
"874","googleID",0.0008410429,"B"
"875","GOSemSim",0.0008410429,"B"
"876","gsheet",0.0008410429,"B"
"877","gtools",0.0008410429,"B"
"878","h2oEnsemble",0.0008410429,"B"
"879","ineq",0.0008410429,"B"
"880","instaR",0.0008410429,"B"
"881","Kmisc",0.0008410429,"B"
"882","listviewer",0.0008410429,"B"
"883","lme4",0.0008410429,"B"
"884","manipulate",0.0008410429,"B"
"885","mapproj",0.0008410429,"B"
"886","memoise",0.0008410429,"B"
"887","Metrics",0.0008410429,"B"
"888","miniCRAN",0.0008410429,"B"
"889","mxnet",0.0008410429,"B"
"890","network",0.0008410429,"B"
"891","nycflights13",0.0008410429,"B"
"892","pasilla",0.0008410429,"B"
"893","proxy",0.0008410429,"B"
"894","pvclust",0.0008410429,"B"
"895","R.utils",0.0008410429,"B"
"896","recipes",0.0008410429,"B"
"897","repurrrsive",0.0008410429,"B"
"898","riem",0.0008410429,"B"
"899","Rllvm",0.0008410429,"B"
"900","rmarkdown",0.0008410429,"B"
"901","RODBC",0.0008410429,"B"
"902","routr",0.0008410429,"B"
"903","rworldmap",0.0008410429,"B"
"904","shape",0.0008410429,"B"
"905","ShinyDash",0.0008410429,"B"
"906","simpleSetup",0.0008410429,"B"
"907","stargazer",0.0008410429,"B"
"908","stats4",0.0008410429,"B"
"909","stplanr",0.0008410429,"B"
"910","strucchange",0.0008410429,"B"
"911","SummarizedExperiment",0.0008410429,"B"
"912","swirl",0.0008410429,"B"
"913","threejs",0.0008410429,"B"
"914","twitteR",0.0008410429,"B"
"915","utils",0.0008410429,"B"
"916","xkcd",0.0008410429,"B"
"917","xml2",0.0008410429,"B"
"918","ABCExtremes",0.0004205214,"B"
"919","AER",0.0004205214,"B"
"920","airway",0.0004205214,"B"
"921","akima",0.0004205214,"B"
"922","alm",0.0004205214,"B"
"923","AnnotationDbi",0.0004205214,"B"
"924","assertthat",0.0004205214,"B"
"925","astsa",0.0004205214,"B"
"926","aws.ec2",0.0004205214,"B"
"927","aws.s3",0.0004205214,"B"
"928","B6BTBR07a",0.0004205214,"B"
"929","base64enc",0.0004205214,"B"
"930","bcp",0.0004205214,"B"
"931","bfast",0.0004205214,"B"
"932","biglm",0.0004205214,"B"
"933","binom",0.0004205214,"B"
"934","BiocInstaller",0.0004205214,"B"
"935","biomaRt",0.0004205214,"B"
"936","bit64",0.0004205214,"B"
"937","bookdown",0.0004205214,"B"
"938","boot",0.0004205214,"B"
"939","bootstrap",0.0004205214,"B"
"940","BridgewellML",0.0004205214,"B"
"941","broman)   # install with install.packages(broman",0.0004205214,"B"
"942","BRRR",0.0004205214,"B"
"943","BSDA",0.0004205214,"B"
"944","BSgenome.Hsapiens.UCSC.hg19",0.0004205214,"B"
"945","bubbles",0.0004205214,"B"
"946","cacher",0.0004205214,"B"
"947","caOmicsV",0.0004205214,"B"
"948","caret); library(kernlab); data(spam",0.0004205214,"B"
"949","catboost",0.0004205214,"B"
"950","CausalImpact",0.0004205214,"B"
"951","cgdsr",0.0004205214,"B"
"952","ChIPseeker",0.0004205214,"B"
"953","class",0.0004205214,"B"
"954","clusterProfiler",0.0004205214,"B"
"955","CMA",0.0004205214,"B"
"956","cMap2data",0.0004205214,"B"
"957","codetools",0.0004205214,"B"
"958","colorRamps",0.0004205214,"B"
"959","compiler)  # enable JIT for getsim(",0.0004205214,"B"
"960","ComplexHeatmap",0.0004205214,"B"
"961","cooking",0.0004205214,"B"
"962","corrplot",0.0004205214,"B"
"963","crosstalk",0.0004205214,"B"
"964","crul",0.0004205214,"B"
"965","cshapes",0.0004205214,"B"
"966","Cubist",0.0004205214,"B"
"967","dallasgeolocate",0.0004205214,"B"
"968","desirability",0.0004205214,"B"
"969","diffr",0.0004205214,"B"
"970","DirichletReg",0.0004205214,"B"
"971","DiscriMiner",0.0004205214,"B"
"972","dispmod",0.0004205214,"B"
"973","doBy",0.0004205214,"B"
"974","DOSE",0.0004205214,"B"
"975","doSNOW",0.0004205214,"B"
"976","dscr",0.0004205214,"B"
"977","earth",0.0004205214,"B"
"978","EBImage",0.0004205214,"B"
"979","ecoengine",0.0004205214,"B"
"980","edeaR",0.0004205214,"B"
"981","eigenR2",0.0004205214,"B"
"982","elasticnet",0.0004205214,"B"
"983","ElemStatLearn",0.0004205214,"B"
"984","ellipse",0.0004205214,"B"
"985","emojifont",0.0004205214,"B"
"986","EnsDb.Hsapiens.v79",0.0004205214,"B"
"987","Epi",0.0004205214,"B"
"988","epiwidgets",0.0004205214,"B"
"989","FactoMineR",0.0004205214,"B"
"990","FastCSVSample",0.0004205214,"B"
"991","fastICA",0.0004205214,"B"
"992","fastmatch",0.0004205214,"B"
"993","FeatureHashing",0.0004205214,"B"
"994","ff",0.0004205214,"B"
"995","fmri",0.0004205214,"B"
"996","forcats",0.0004205214,"B"
"997","foreach",0.0004205214,"B"
"998","fossil",0.0004205214,"B"
"999","fredr) # if not installed use devtools::install_github(christophergandrud/fredr",0.0004205214,"B"
"1000","frma",0.0004205214,"B"
"1001","FSA",0.0004205214,"B"
"1002","fscaret",0.0004205214,"B"
"1003","GA",0.0004205214,"B"
"1004","gcrma",0.0004205214,"B"
"1005","gdeltr2",0.0004205214,"B"
"1006","GenomicFileViews",0.0004205214,"B"
"1007","geoparser",0.0004205214,"B"
"1008","ggbeeswarm",0.0004205214,"B"
"1009","ggpmisc",0.0004205214,"B"
"1010","ggRandomForests",0.0004205214,"B"
"1011","ggraph",0.0004205214,"B"
"1012","ggsci",0.0004205214,"B"
"1013","ggtern",0.0004205214,"B"
"1014","ggtree",0.0004205214,"B"
"1015","gh) # devtools::install_github(gaborcsardi/gh",0.0004205214,"B"
"1016","GISTools",0.0004205214,"B"
"1017","glmmADMB",0.0004205214,"B"
"1018","glmnetUtils",0.0004205214,"B"
"1019","googleLanguageR",0.0004205214,"B"
"1020","GOstats",0.0004205214,"B"
"1021","graphics",0.0004205214,"B"
"1022","grDevices",0.0004205214,"B"
"1023","grid) # arrow(",0.0004205214,"B"
"1024","grid) # unit(",0.0004205214,"B"
"1025","grid) #unit(",0.0004205214,"B"
"1026","gridExtra) #arrangeGrob(",0.0004205214,"B"
"1027","GSEABase",0.0004205214,"B"
"1028","gstat",0.0004205214,"B"
"1029","gsubfn",0.0004205214,"B"
"1030","gtable",0.0004205214,"B"
"1031","gtrellis",0.0004205214,"B"
"1032","gtrendsR",0.0004205214,"B"
"1033","Gviz",0.0004205214,"B"
"1034","h2o4gpu",0.0004205214,"B"
"1035","hdnom",0.0004205214,"B"
"1036","help=qtl",0.0004205214,"B"
"1037","help=splines",0.0004205214,"B"
"1038","hexbin",0.0004205214,"B"
"1039","hgu133aprobe",0.0004205214,"B"
"1040","HistData",0.0004205214,"B"
"1041","Homework1",0.0004205214,"B"
"1042","Homo.sapiens",0.0004205214,"B"
"1043","htmltools",0.0004205214,"B"
"1044","htmlwidgets",0.0004205214,"B"
"1045","httpuv",0.0004205214,"B"
"1046","iCOBRA",0.0004205214,"B"
"1047","idbr",0.0004205214,"B"
"1048","IlluminaHumanMethylation450k.db",0.0004205214,"B"
"1049","Imap",0.0004205214,"B"
"1050","imfr",0.0004205214,"B"
"1051","infotheo",0.0004205214,"B"
"1052","INLA",0.0004205214,"B"
"1053","inTrees",0.0004205214,"B"
"1054","IPinYouExp",0.0004205214,"B"
"1055","ipred",0.0004205214,"B"
"1056","IRanges",0.0004205214,"B"
"1057","ISLR",0.0004205214,"B"
"1058","jbkmisc",0.0004205214,"B"
"1059","JeffLeekMeme",0.0004205214,"B"
"1060","keras",0.0004205214,"B"
"1061","klaR",0.0004205214,"B"
"1062","KMsurv",0.0004205214,"B"
"1063","knitcitations",0.0004205214,"B"
"1064","knitr, quietly = TRUE",0.0004205214,"B"
"1065","lars",0.0004205214,"B"
"1066","latticeExtra",0.0004205214,"B"
"1067","lazyeval",0.0004205214,"B"
"1068","leaflet)  # for interactive maps (NOT leafletR here",0.0004205214,"B"
"1069","liftr",0.0004205214,"B"
"1070","lmerTest",0.0004205214,"B"
"1071","lmtest",0.0004205214,"B"
"1072","logging",0.0004205214,"B"
"1073","mapdata",0.0004205214,"B"
"1074","mapdata, quietly = TRUE",0.0004205214,"B"
"1075","maps, quietly = TRUE",0.0004205214,"B"
"1076","mapview",0.0004205214,"B"
"1077","markdown) #includeMarkdown(",0.0004205214,"B"
"1078","MCMCpack",0.0004205214,"B"
"1079","mda",0.0004205214,"B"
"1080","MeSH.PCR.db",0.0004205214,"B"
"1081","methods)# (not needed here",0.0004205214,"B"
"1082","mgcv",0.0004205214,"B"
"1083","mi",0.0004205214,"B"
"1084","minn05",0.0004205214,"B"
"1085","minpack.lm",0.0004205214,"B"
"1086","misc3d",0.0004205214,"B"
"1087","MISQPlus",0.0004205214,"B"
"1088","mlbench",0.0004205214,"B"
"1089","mongolite",0.0004205214,"B"
"1090","muhaz",0.0004205214,"B"
"1091","mxmortalitydb",0.0004205214,"B"
"1092","ndtv",0.0004205214,"B"
"1093","neiss",0.0004205214,"B"
"1094","neuralnet",0.0004205214,"B"
"1095","nleqslv",0.0004205214,"B"
"1096","NMF",0.0004205214,"B"
"1097","nnet",0.0004205214,"B"
"1098","numDeriv",0.0004205214,"B"
"1099","numOSL",0.0004205214,"B"
"1100","NYU160J",0.0004205214,"B"
"1101","odfWeave",0.0004205214,"B"
"1102","oligo",0.0004205214,"B"
"1103","ompr",0.0004205214,"B"
"1104","ompr.roi",0.0004205214,"B"
"1105","OpenStreetMap",0.0004205214,"B"
"1106","optparse",0.0004205214,"B"
"1107","ores",0.0004205214,"B"
"1108","org.Hs.eg.db",0.0004205214,"B"
"1109","org.Sc.sgd.db",0.0004205214,"B"
"1110","osmplotr",0.0004205214,"B"
"1111","pamr",0.0004205214,"B"
"1112","pander",0.0004205214,"B"
"1113","parcoords",0.0004205214,"B"
"1114","pgmm",0.0004205214,"B"
"1115","pheatmap",0.0004205214,"B"
"1116","pipeR",0.0004205214,"B"
"1117","plm",0.0004205214,"B"
"1118","pls",0.0004205214,"B"
"1119","plumber) #devtools::install_github(trestletech/plumber",0.0004205214,"B"
"1120","pluralize",0.0004205214,"B"
"1121","plyr) # revalue(",0.0004205214,"B"
"1122","plyr) #ldply(",0.0004205214,"B"
"1123","plyr) #llply(",0.0004205214,"B"
"1124","plyr) #rename(",0.0004205214,"B"
"1125","plyr, quietly = TRUE",0.0004205214,"B"
"1126","PMCMR",0.0004205214,"B"
"1127","preprocessCore",0.0004205214,"B"
"1128","promises",0.0004205214,"B"
"1129","pso",0.0004205214,"B"
"1130","psych",0.0004205214,"B"
"1131","qgraph",0.0004205214,"B"
"1132","qtl)      # install with install.packages(qtl",0.0004205214,"B"
"1133","qtl2)     # install with install.packages(qtl2, repos=https://rqtl.org/qtl2cran",0.0004205214,"B"
"1134","qtl2plot) # install with install.packages(qtl2plot, repos=https://rqtl.org/qtl2cran",0.0004205214,"B"
"1135","qtlbook",0.0004205214,"B"
"1136","qtlcharts",0.0004205214,"B"
"1137","qtlDesign",0.0004205214,"B"
"1138","qtlpvl",0.0004205214,"B"
"1139","qvalue",0.0004205214,"B"
"1140","R.cache",0.0004205214,"B"
"1141","rafalib",0.0004205214,"B"
"1142","randomForestSRC",0.0004205214,"B"
"1143","ranger",0.0004205214,"B"
"1144","RANN",0.0004205214,"B"
"1145","RAppArmor",0.0004205214,"B"
"1146","rARPACK",0.0004205214,"B"
"1147","rasterVis",0.0004205214,"B"
"1148","rattle",0.0004205214,"B"
"1149","rBayesianOptimization",0.0004205214,"B"
"1150","rblocks",0.0004205214,"B"
"1151","Rborist",0.0004205214,"B"
"1152","rchess",0.0004205214,"B"
"1153","RCircos",0.0004205214,"B"
"1154","rcompanion",0.0004205214,"B"
"1155","Rcpp",0.0004205214,"B"
"1156","rcrossref",0.0004205214,"B"
"1157","rdatamarket",0.0004205214,"B"
"1158","rdrop2",0.0004205214,"B"
"1159","ReactomePA",0.0004205214,"B"
"1160","recurrentR",0.0004205214,"B"
"1161","REmap",0.0004205214,"B"
"1162","reports",0.0004205214,"B"
"1163","reshape2) # colsplit(",0.0004205214,"B"
"1164","reshape2) # melt(",0.0004205214,"B"
"1165","reshape2) #melt(",0.0004205214,"B"
"1166","Rffi",0.0004205214,"B"
"1167","rfisheries",0.0004205214,"B"
"1168","rga",0.0004205214,"B"
"1169","rgdal) # load the package (this needs to have been installed",0.0004205214,"B"
"1170","RgoogleMaps",0.0004205214,"B"
"1171","rio); library(repmis",0.0004205214,"B"
"1172","RISmed",0.0004205214,"B"
"1173","rJava",0.0004205214,"B"
"1174","RJDBC",0.0004205214,"B"
"1175","rjson",0.0004205214,"B"
"1176","rlist",0.0004205214,"B"
"1177","RLLVMCompile",0.0004205214,"B"
"1178","rMaps",0.0004205214,"B"
"1179","RMessenger",0.0004205214,"B"
"1180","rmongodb",0.0004205214,"B"
"1181","RNASeqTools",0.0004205214,"B"
"1182","ROI.plugin.glpk",0.0004205214,"B"
"1183","Ropenaq",0.0004205214,"B"
"1184","ROSE",0.0004205214,"B"
"1185","rplos",0.0004205214,"B"
"1186","rPlotter",0.0004205214,"B"
"1187","RPPGen",0.0004205214,"B"
"1188","RPPGen) # library(devtools);install_github(RPPGen, wush978",0.0004205214,"B"
"1189","Rsamtools",0.0004205214,"B"
"1190","rsfmriGraph",0.0004205214,"B"
"1191","RSQLiteUDF",0.0004205214,"B"
"1192","rtracklayer",0.0004205214,"B"
"1193","Rtsne",0.0004205214,"B"
"1194","rusps",0.0004205214,"B"
"1195","rwars",0.0004205214,"B"
"1196","S4Vectors",0.0004205214,"B"
"1197","sandwich",0.0004205214,"B"
"1198","scales) # log2_trans(), trans_breaks(",0.0004205214,"B"
"1199","scales) # scale_x_date(",0.0004205214,"B"
"1200","scales) #date_format(",0.0004205214,"B"
"1201","scales) #scale_x_date(",0.0004205214,"B"
"1202","scatterplot3d",0.0004205214,"B"
"1203","seleniumPipes",0.0004205214,"B"
"1204","sessioninfo",0.0004205214,"B"
"1205","shiny) ; library(shinydashboard) ; library(dplyr) ; library(rgdal) ; library(leaflet) ; library(RColorBrewer) ; library(ggvis) ; library(DT",0.0004205214,"B"
"1206","shinyAce) #updateAceEditor(",0.0004205214,"B"
"1207","shinyExt",0.0004205214,"B"
"1208","shinyIncubator",0.0004205214,"B"
"1209","shinySignals",0.0004205214,"B"
"1210","shinyvalidinp",0.0004205214,"B"
"1211","simcross",0.0004205214,"B"
"1212","simcross) # install with devtools::install_github(kbroman/simcross",0.0004205214,"B"
"1213","simGLM",0.0004205214,"B"
"1214","slam",0.0004205214,"B"
"1215","slidify",0.0004205214,"B"
"1216","softmaxreg",0.0004205214,"B"
"1217","sparklyr",0.0004205214,"B"
"1218","spp",0.0004205214,"B"
"1219","sqlstackr",0.0004205214,"B"
"1220","ssh.utils",0.0004205214,"B"
"1221","staticdocs",0.0004205214,"B"
"1222","streamgraph",0.0004205214,"B"
"1223","subprocess",0.0004205214,"B"
"1224","survey",0.0004205214,"B"
"1225","synapseClient",0.0004205214,"B"
"1226","TCGAbiolinks",0.0004205214,"B"
"1227","teach",0.0004205214,"B"
"1228","tesseract",0.0004205214,"B"
"1229","texreg",0.0004205214,"B"
"1230","Tmisc",0.0004205214,"B"
"1231","tools, quietly=TRUE",0.0004205214,"B"
"1232","topGO",0.0004205214,"B"
"1233","tourr",0.0004205214,"B"
"1234","treeio",0.0004205214,"B"
"1235","tspair",0.0004205214,"B"
"1236","TTR",0.0004205214,"B"
"1237","tweetscores",0.0004205214,"B"
"1238","TxDb.Hsapiens.UCSC.hg19.knownGene",0.0004205214,"B"
"1239","tximport",0.0004205214,"B"
"1240","ukboundaries",0.0004205214,"B"
"1241","units",0.0004205214,"B"
"1242","urca",0.0004205214,"B"
"1243","urltools",0.0004205214,"B"
"1244","usaqmindia",0.0004205214,"B"
"1245","uselections",0.0004205214,"B"
"1246","UsingR",0.0004205214,"B"
"1247","varDev2",0.0004205214,"B"
"1248","vegan",0.0004205214,"B"
"1249","visNetwork",0.0004205214,"B"
"1250","visreg",0.0004205214,"B"
"1251","wang05",0.0004205214,"B"
"1252","wateRmelon",0.0004205214,"B"
"1253","wesanderson",0.0004205214,"B"
"1254","WGCNA",0.0004205214,"B"
"1255","wnominate",0.0004205214,"B"
"1256","XLConnect",0.0004205214,"B"
"1257","xlsx",0.0004205214,"B"
"1258","XML); library(plyr",0.0004205214,"B"
"1259","Zelig",0.0004205214,"B"
"1260","zipcode",0.0004205214,"B"
